Nr,PlotID,Origin,Transplant,Treatment,trt,Event,Datum,Biomass,C,N,P
1,EB-21,EB,FE,Extensive,EX,Cutting,31.08.2016,81.13365321,43.4,2.58,2.35
2,EB-09,EB,FE,Extensive,EX,Cutting,31.08.2016,94.57340396,43.5,2.57,2.54
3,EB-109,EB,FE,Extensive,EX,Cutting,31.08.2016,98.25165154,44.1,2.47,2.68
4,EB-121,EB,FE,Extensive,EX,Cutting,31.08.2016,112.3987576,42.6,2.44,2.34
5,EB-215,EB,FE,Extensive,EX,Cutting,31.08.2016,195.7252122,43.8,2.6,2.04
6,EB-230,EB,FE,Extensive,EX,Cutting,31.08.2016,186.2466512,43.2,2.41,2.01
7,EB-148,EB,FE,Intensive,IN,Cutting,31.08.2016,137.4391353,42.3,2.78,2.62
8,EB-242,EB,FE,Intensive,IN,Cutting,31.08.2016,119.4723106,43.8,3.03,2.12
9,EB-257,EB,FE,Intensive,IN,Cutting,31.08.2016,129.2338138,44.5,2.74,2.11
10,EB-39,EB,FE,Intensive,IN,Cutting,31.08.2016,214.1164501,42.5,2.29,2.1
11,EB-51,EB,FE,Intensive,IN,Cutting,31.08.2016,167.2895291,42.9,2.93,2.4
12,GW-110,GW,FE,Extensive,EX,Cutting,31.08.2016,196.5740386,43.4,2.81,3.83
13,GW-118,GW,FE,Extensive,EX,Cutting,31.08.2016,170.2604213,43.6,3.23,4.39
14,GW-26,GW,FE,Extensive,EX,Cutting,31.08.2016,193.1787331,43.2,2.95,4.14
15,GW-38,GW,FE,Extensive,EX,Cutting,31.08.2016,143.9468041,43.8,2.62,4.76
16,GW-70,GW,FE,Extensive,EX,Cutting,31.08.2016,215.9555739,43,2.61,4.48
17,GW-74,GW,FE,Extensive,EX,Cutting,31.08.2016,223.8779533,43.6,2.89,4.77
18,GW-82,GW,FE,Extensive,EX,Cutting,31.08.2016,232.3662169,43,2.59,4.25
19,GW-102,GW,FE,Intensive,IN,Cutting,31.08.2016,154.1327204,43.5,2.98,5.43
20,GW-12,GW,FE,Intensive,IN,Cutting,31.08.2016,156.3962574,44.2,2.89,4.67
21,GW-20,GW,FE,Intensive,IN,Cutting,31.08.2016,172.8069004,43.7,3.1,4.48
22,GW-56,GW,FE,Intensive,IN,Cutting,31.08.2016,194.0275595,44,2.64,4.73
23,GW-92,GW,FE,Intensive,IN,Cutting,31.08.2016,170.6848345,43.7,2.59,4.45
24,EB-08,EB,GW,Extensive,EX,Cutting,31.08.2016,125.2726241,43.3,3.38,2.32
25,EB-111,EB,GW,Extensive,EX,Cutting,31.08.2016,167.4310001,43.8,3.06,2.13
26,EB-123,EB,GW,Extensive,EX,Cutting,31.08.2016,195.159328,39.2,2.61,2.25
27,EB-214,EB,GW,Extensive,EX,Cutting,31.08.2016,141.9662092,NA,NA,NA
28,EB-226,EB,GW,Extensive,EX,Cutting,31.08.2016,114.8037656,43.7,2.82,1.91
29,EB-26,EB,GW,Extensive,EX,Cutting,31.08.2016,162.9039262,42.9,3.69,2.42
30,EB-138,EB,GW,Intensive,IN,Cutting,31.08.2016,175.4948506,43.4,3.11,2.18
31,EB-147,EB,GW,Intensive,IN,Cutting,31.08.2016,162.479513,43.6,3.15,2.14
32,EB-235,EB,GW,Intensive,IN,Cutting,31.08.2016,149.3227044,43.8,2.78,2.04
33,EB-253,EB,GW,Intensive,IN,Cutting,31.08.2016,200.3937572,43.6,2.53,1.87
34,EB-38,EB,GW,Intensive,IN,Cutting,31.08.2016,223.5950112,43.1,3.32,2.13
35,EB-56,EB,GW,Intensive,IN,Cutting,31.08.2016,224.4438375,42.2,3.46,2.39
36,GW-07,GW,GW,Extensive,EX,Cutting,31.08.2016,242.5521333,43.5,2.71,3.22
37,GW-101,GW,GW,Extensive,EX,Cutting,31.08.2016,221.4729453,43.2,3.15,3.37
38,GW-17,GW,GW,Extensive,EX,Cutting,31.08.2016,181.153693,44.3,2.38,3.61
39,GW-43,GW,GW,Extensive,EX,Cutting,31.08.2016,218.7849951,44,2.88,3.35
40,GW-53,GW,GW,Extensive,EX,Cutting,31.08.2016,180.0219245,44,2.89,3.98
41,GW-85,GW,GW,Extensive,EX,Cutting,31.08.2016,205.0623022,43.6,2.52,3.19
42,GW-113,GW,GW,Intensive,IN,Cutting,31.08.2016,281.598146,43.9,2.73,2.98
43,GW-125,GW,GW,Intensive,IN,Cutting,31.08.2016,159.0842076,42.4,2.66,3.39
44,GW-27,GW,GW,Intensive,IN,Cutting,31.08.2016,176.7680901,44.3,2.83,3.23
45,GW-33,GW,GW,Intensive,IN,Cutting,31.08.2016,297.7258469,44,2.92,2.74
46,GW-67,GW,GW,Intensive,IN,Cutting,31.08.2016,290.3693517,43.9,2.96,3.31
47,EB-10,EB,EB,Intensive,IN,Cutting,13.10.2016,135.6424528,44.4,2.28,1.42
48,EB-110,EB,EB,Intensive,IN,Cutting,13.10.2016,122.061231,44,2.41,2.22
49,EB-116,EB,EB,Intensive,IN,Cutting,13.10.2016,91.64495301,43,2.57,2.2
50,EB-207,EB,EB,Intensive,IN,Cutting,13.10.2016,130.6909657,44.1,2.71,2.25
51,EB-22,EB,EB,Intensive,IN,Cutting,13.10.2016,116.5438597,44.3,2.74,1.54
52,EB-225,EB,EB,Intensive,IN,Cutting,13.10.2016,143.9892454,43.6,2.28,2.12
53,EB-10,EB,EB,Intensive,IN,FirstCut,22.05.2017,69.85840969,43.9,4.07,3.74
54,EB-110,EB,EB,Intensive,IN,FirstCut,22.05.2017,77.49784696,44.5,3.57,3.49
55,EB-116,EB,EB,Intensive,IN,FirstCut,22.05.2017,88.8155318,43.8,3.68,3.65
56,EB-207,EB,EB,Intensive,IN,FirstCut,22.05.2017,83.86404468,44.3,3.94,3.29
57,EB-22,EB,EB,Intensive,IN,FirstCut,22.05.2017,26.85120729,43,4.14,4.09
58,EB-225,EB,EB,Intensive,IN,FirstCut,22.05.2017,71.55606241,44.1,3.86,2.89
59,EB-136,EB,FE,Intensive,IN,FirstCut,22.05.2017,694.4531419,42.9,2.03,2.57
60,EB-148,EB,FE,Intensive,IN,FirstCut,22.05.2017,627.3958592,42.6,1.98,2.78
61,EB-242,EB,FE,Intensive,IN,FirstCut,22.05.2017,658.8024347,43.2,2.2,2.29
62,EB-257,EB,FE,Intensive,IN,FirstCut,22.05.2017,482.9539064,44,2.18,2.58
63,EB-39,EB,FE,Intensive,IN,FirstCut,22.05.2017,566.8462453,42.3,2.31,2.53
64,EB-51,EB,FE,Intensive,IN,FirstCut,22.05.2017,405.1448231,42.4,2.44,2.12
65,GW-102,GW,FE,Intensive,IN,FirstCut,22.05.2017,684.6916387,42.9,2.02,3.07
66,GW-12,GW,FE,Intensive,IN,FirstCut,22.05.2017,928.446276,43.1,2.01,2.58
67,GW-20,GW,FE,Intensive,IN,FirstCut,22.05.2017,804.8005691,42,2.01,2.59
68,GW-44,GW,FE,Intensive,IN,FirstCut,22.05.2017,765.7545564,42.8,1.68,2.77
69,GW-56,GW,FE,Intensive,IN,FirstCut,22.05.2017,586.9351359,43.3,1.93,3.12
70,GW-92,GW,FE,Intensive,IN,FirstCut,22.05.2017,688.3698863,42.6,1.68,3.07
71,EB-138,EB,GW,Intensive,IN,FirstCut,22.05.2017,611.353041,42.3,2.31,2.79
72,EB-147,EB,GW,Intensive,IN,FirstCut,22.05.2017,471.8625753,42.7,2.37,2.57
73,EB-235,EB,GW,Intensive,IN,FirstCut,22.05.2017,564.4412373,42.4,2.5,2.48
74,EB-253,EB,GW,Intensive,IN,FirstCut,22.05.2017,569.9586086,42.4,2.56,2.54
75,EB-38,EB,GW,Intensive,IN,FirstCut,22.05.2017,806.7245755,42.6,2.42,2.52
76,EB-56,EB,GW,Intensive,IN,FirstCut,22.05.2017,807.3470482,43.2,2.83,2.49
77,GW-113,GW,GW,Intensive,IN,FirstCut,22.05.2017,413.6330868,43.9,2.9,3.06
78,GW-125,GW,GW,Intensive,IN,FirstCut,22.05.2017,374.3890146,43,1.9,3.35
79,GW-27,GW,GW,Intensive,IN,FirstCut,22.05.2017,393.6290788,43.9,2.45,3.28
80,GW-33,GW,GW,Intensive,IN,FirstCut,22.05.2017,496.4785398,43.4,2.68,3.16
81,GW-67,GW,GW,Intensive,IN,FirstCut,22.05.2017,391.8465434,42.4,2.57,3.37
82,GW-77,GW,GW,Intensive,IN,FirstCut,22.05.2017,360.8643812,41.7,2.17,3.34
83,EB-143,EB,EB,Extensive,EX,FirstCut,08.06.2017,318.281592,40.3,2.59,2.84
84,EB-155,EB,EB,Extensive,EX,FirstCut,08.06.2017,403.9564662,43,2.65,3.25
85,EB-237,EB,EB,Extensive,EX,FirstCut,08.06.2017,267.2105391,43.2,2.87,2.84
86,EB-246,EB,EB,Extensive,EX,FirstCut,08.06.2017,209.6318175,42.8,2.79,2.63
87,EB-40,EB,EB,Extensive,EX,FirstCut,08.06.2017,257.4490359,39.1,2.42,3.4
88,EB-58,EB,EB,Extensive,EX,FirstCut,08.06.2017,276.8305712,42.3,2.63,3.17
89,EB-21,EB,FE,Extensive,EX,FirstCut,08.06.2017,873.0745029,41.5,1.52,2.21
90,EB-09,EB,FE,Extensive,EX,FirstCut,08.06.2017,527.319231,42.3,1.64,2.48
91,EB-109,EB,FE,Extensive,EX,FirstCut,08.06.2017,718.9276354,43.4,1.86,2.64
92,EB-121,EB,FE,Extensive,EX,FirstCut,08.06.2017,625.2172049,43.7,1.61,2.34
93,EB-215,EB,FE,Extensive,EX,FirstCut,08.06.2017,716.6640984,43.4,1.71,1.91
94,EB-230,EB,FE,Extensive,EX,FirstCut,08.06.2017,471.6362216,45.5,1.65,1.71
95,GW-110,GW,FE,Extensive,EX,FirstCut,08.06.2017,881.1949418,46.6,1.23,2.16
96,GW-118,GW,FE,Extensive,EX,FirstCut,08.06.2017,699.2065695,44.7,1.71,2.68
97,GW-26,GW,FE,Extensive,EX,FirstCut,08.06.2017,622.5858432,44.5,1.95,2.74
98,GW-38,GW,FE,Extensive,EX,FirstCut,08.06.2017,682.8525149,44.6,1.72,2.54
99,GW-70,GW,FE,Extensive,EX,FirstCut,08.06.2017,559.6312212,43.1,1.92,3.02
100,GW-82,GW,FE,Extensive,EX,FirstCut,08.06.2017,634.6108833,42.7,1.76,2.56
101,EB-08,EB,GW,Extensive,EX,FirstCut,08.06.2017,736.1305163,41.9,1.75,2.23
102,EB-111,EB,GW,Extensive,EX,FirstCut,08.06.2017,630.4233399,42.2,1.66,1.93
103,EB-123,EB,GW,Extensive,EX,FirstCut,08.06.2017,610.7871567,42.3,1.84,2.44
104,EB-214,EB,GW,Extensive,EX,FirstCut,08.06.2017,827.2378793,41.7,1.96,2.02
105,EB-226,EB,GW,Extensive,EX,FirstCut,08.06.2017,992.7590201,42.1,2.31,2.5
