"plotO","plotT","Nr","Name","Datum","Transplant","Origin","Treatment","PlotID","Biomass.g.m².","pAsh","pFat","pProt","Ash","Fat","Protein","Fibre","year","C","N","P","CN","NP","dT"
"Esterberg","Esterberg",337,"gr_337","25.06.2018","EB","EB","Intensive","EB-110",310.3592126,6.205628902,2.923089298,10.37549962,NA,NA,NA,NA,"2018",42.5,1.58,2.82,26.89873418,5.602836879,"Ctrl"
"Esterberg","Esterberg",336,"gr_336","25.06.2018","EB","EB","Intensive","EB-116",236.511319,8.452422587,3.754226915,13.22586408,NA,NA,NA,NA,"2018",42,1.83,2.71,22.95081967,6.752767528,"Ctrl"
"Esterberg","Esterberg",277,"gr_277","13.05.2018","EB","EB","Intensive","EB-110",109.0458935,6.478471852,3.55216555,20.02472505,NA,NA,NA,NA,"2018",43.1,3.69,3.79,11.6802168,9.736147757,"Ctrl"
"Esterberg","Esterberg",278,"gr_278","13.05.2018","EB","EB","Intensive","EB-10",107.2067697,7.571569992,3.56198605,20.78803721,NA,NA,NA,NA,"2018",43,3.73,3.73,11.52815013,10,"Ctrl"
"Esterberg","Esterberg",279,"gr_279","13.05.2018","EB","EB","Intensive","EB-207",144.1307165,7.172288749,3.826486009,20.49829201,NA,NA,NA,NA,"2018",43.4,3.69,3.38,11.76151762,10.91715976,"Ctrl"
"Esterberg","Esterberg",281,"gr_281","13.05.2018","EB","EB","Intensive","EB-22",158.5607646,7.767983052,3.25643126,18.90275499,NA,NA,NA,NA,"2018",43.3,3.45,3.73,12.55072464,9.249329759,"Ctrl"
"Esterberg","Esterberg",338,"gr_338","25.06.2018","EB","EB","Intensive","EB-10",276.264687,8.685998647,3.488013821,13.88068282,NA,NA,NA,NA,"2018",42.4,1.98,2.75,21.41414141,7.2,"Ctrl"
"Esterberg","Esterberg",280,"gr_280","13.05.2018","EB","EB","Intensive","EB-225",130.2665525,8.016661709,3.493805919,19.48832708,NA,NA,NA,NA,"2018",43.7,3.78,3.5,11.56084656,10.8,"Ctrl"
"Esterberg","Esterberg",276,"gr_276","13.05.2018","EB","EB","Intensive","EB-116",58.25778272,7.844477696,3.76262016,20.99521915,NA,NA,NA,NA,"2018",43.1,3.63,3.99,11.87327824,9.097744361,"Ctrl"
"Esterberg","Esterberg",306,"gr_306","12.06.2018","EB","EB","Extensive","EB-40",481.3977248,7.985570591,2.501572319,12.30911585,NA,NA,NA,NA,"2018",42.1,1.94,2.36,21.70103093,8.220338983,"Ctrl"
"Esterberg","Esterberg",197,"gr_197","21.09.2017","EB","EB","Intensive","EB-10",295.5896339,10.08783016,2.876303083,13.59604907,10.63,3,14,18.9,"2017",42,2.28,2.95,18.42105263,7.728813559,"Ctrl"
