EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
12.08.2016;0,444715849;0,504972431;0,465831366;0,570700315;0,58905367
13.08.2016;0,415315439;0,488593514;0,452986977;0,545868866;0,578183911
14.08.2016;0,385221217;0,471771873;0,434554896;0,514837699;0,537719517
15.08.2016;0,366935757;0,461110375;0,419197791;0,498360785;0,524013648
16.08.2016;0,361379461;0,457738489;0,410731101;0,495515239;0,517923107
17.08.2016;0,391907464;0,471037142;0,444539293;0,541932884;0,534214591
18.08.2016;0,451384797;0,50239165;0,476586176;0,584021542;0,589690962
19.08.2016;0,425761962;0,490753754;0,452621181;0,553231656;0,589249487
20.08.2016;0,406826755;0,481224648;0,441805977;0,537779117;0,565695673
21.08.2016;0,459751741;0,506806255;0,482699567;0,58417502;0,587725451
22.08.2016;0,423025436;0,491286523;0,451700382;0,553674418;0,587663926
23.08.2016;0,394438098;0,476053148;0,430452416;0,526641405;0,555239307
24.08.2016;0,373674586;0,465581043;0,413109701;0,50270697;0,535710336
25.08.2016;0,354358102;0,455140501;0,392704886;0,47965619;0,522407538
26.08.2016;0,336601164;0,444149408;0,375445945;0,45833649;0,509607258
27.08.2016;0,313302293;0,434567588;0,359083324;0,440043564;0,495236832
28.08.2016;0,289952634;0,424827686;0,342635305;0,425943583;0,484590548
29.08.2016;0,315061025;0,432480431;0,369206463;0,467845125;0,4848786
30.08.2016;0,364077235;0,434728655;0,410745503;0,515361461;0,49700684
31.08.2016;0,348780186;0,431721105;0,395772286;0,4862836;0,494531343
01.09.2016;0,353772438;0,43455126;0,404667729;0,500781913;0,496904844
02.09.2016;0,352084137;0,433442352;0,402398746;0,498493584;0,497945476
03.09.2016;0,340440653;0,431472511;0,392497501;0,47920653;0,493959443
04.09.2016;0,326351896;0,428807249;0,382189802;0,460464843;0,488780173
05.09.2016;0,381221778;0,435488806;0,429452003;0,556253091;0,528314868
06.09.2016;0,454316695;0,48769031;0,461288016;0,603997038;0,58000889
07.09.2016;0,404119812;0,475334952;0,421743861;0,543824709;0,553054176
08.09.2016;0,379021284;0,463408054;0,411076932;0,517301904;0,535377708
09.09.2016;0,363280722;0,454900567;0,403212802;0,503704999;0,524430818
10.09.2016;0,353073111;0,449707758;0,397147461;0,492878694;0,517191879
11.09.2016;0,34382492;0,446053723;0,391342225;0,482767141;0,511122257
12.09.2016;0,331924827;0,439471005;0,385289411;0,473707424;0,504326631
13.09.2016;0,311856854;0,432574899;0,373845518;0,454877828;0,494604534
14.09.2016;0,286874692;0,422527178;0,361026041;0,43530129;0,485531368
15.09.2016;0,266909914;0,413405793;0,349954224;0,42003194;0,475897693
16.09.2016;0,264364714;0,410650502;0,347072775;0,41948413;0,470675747
17.09.2016;0,429221225;0,457998025;0,441980581;0,607579616;0,559273566
18.09.2016;0,463494587;0,490942498;0,444243834;0,594771533;0,591160301
19.09.2016;0,492248666;0,493960848;0,451580347;0,605526963;0,62009953
20.09.2016;0,460663556;0,488674839;0,436786282;0,573232532;0,628146144
21.09.2016;0,436396646;0,48413995;0,427303418;0,563283586;0,610560173
22.09.2016;0,416341806;0,474816706;0,419618743;0,550648898;0,552708197
23.09.2016;0,39902558;0,467550623;0,414089519;0,537404478;0,540475205
24.09.2016;0,382689178;0,460919512;0,409393604;0,525331468;0,532104805
25.09.2016;0,367610868;0,454498262;0,403554871;0,510919452;0,523423055
26.09.2016;0,353704616;0,446780828;0,395595517;0,499121303;0,513511657
27.09.2016;0,342052335;0,442508032;0,389306428;0,487864623;0,507894617
28.09.2016;0,331002234;0,437875847;0,384931548;0,479998324;0,502234152
29.09.2016;0,315470161;0,430897738;0,379023148;0,467673621;0,495395892
30.09.2016;0,298956798;0,424670636;0,372754359;0,456685473;0,489432689
01.10.2016;0,283475658;0,417590007;0,366852435;0,447568393;0,482617046
02.10.2016;0,358620179;0,422168047;0,423512084;0,569061469;0,527722273
03.10.2016;0,401735834;0,43988098;0,437977911;0,597213497;0,57724152
04.10.2016;0,446805255;0,480052182;0,447452232;0,616011721;0,595324149
05.10.2016;0,435343679;0,487474164;0,43976683;0,596904982;0,595693144
06.10.2016;0,415182283;0,478646869;0,4282666;0,583877031;0,566849585
07.10.2016;0,408428494;0,475072905;0,423750085;0,576480586;0,549556392
08.10.2016;0,447264265;0,489051956;0,443687627;0,598407517;0,572635125
09.10.2016;0,440872457;0,491325878;0,438405045;0,594337686;0,58191746
10.10.2016;0,422398943;0,481993901;0,429601798;0,584654586;0,555456697
11.10.2016;0,429834938;0,484817959;0,432217657;0,583824282;0,556023827
12.10.2016;0,443869067;0,494087757;0,438495367;0,591242214;0,561778468
13.10.2016;0,428025776;0,485876678;0,4302873;0,586464509;0,55592215
14.10.2016;0,414386215;0,480029812;0,424754894;0,580365963;0,549758932
15.10.2016;0,404109054;0,474547742;0,421612869;0,573141391;0,544910678
16.10.2016;0,399876897;0,472529875;0,420710995;0,565004518;0,541428198
17.10.2016;0,400853372;0,471120443;0,419572437;0,561292258;0,538748047
18.10.2016;0,476084631;0,497997831;0,454123251;0,616944712;0,576944235
19.10.2016;0,464278477;0,502183069;0,44609325;0,602438637;0,573892549
20.10.2016;0,455412512;0,496388868;0,440702327;0,593997706;0,560779796
21.10.2016;0,462177999;0,493661007;0,442368984;0,593477839;0,55995046
22.10.2016;0,469589966;0,496513796;0,442613024;0,594503481;0,559585081
23.10.2016;0,500325757;0,490138651;0,438445656;0,591132656;0,555627349
24.10.2016;0,472750193;0,494021837;0,440999034;0,594545428;0,558770265
25.10.2016;0,503262896;0,497383387;0,456701747;0,619744186;0,574018848
26.10.2016;0,528591824;0,494011477;0,459730304;0,628471075;0,593445496
27.10.2016;0,483101904;0,498879723;0,448052881;0,605673164;0,564001541
28.10.2016;0,459582405;0,491751335;0,439607108;0,594609147;0,555755366
29.10.2016;0,434884119;0,470667341;0,371114831;0,589468585;0,549342254
30.10.2016;0,432014746;0,466277469;0,356376023;0,581913309;0,543407358
31.10.2016;0,410601138;0,465808443;0,35486191;0,575065356;0,539197241
01.11.2016;0,397733866;0,46121754;0,355371974;0,57108548;0,536033953
02.11.2016;0,405005055;0,464990445;0,357552542;0,575079119;0,536235729
