EB_EB_INdt;SM1;SM2;SM3;SM4;SM5
12.08.2016;0,439093571;0,524067075;0,410697871;0,531881011;0,512025618
13.08.2016;0,426445417;0,521771949;0,405084873;0,49679395;0,496655938
14.08.2016;0,407869154;0,506939054;0,398841284;0,453017766;0,475873253
15.08.2016;0,396746909;0,496007778;0,392021054;0,432054625;0,46617484
16.08.2016;0,393174006;0,485895089;0,391172616;0,43716717;0,461170805
17.08.2016;0,457649228;0,501650652;0,40928032;0,528918581;0,473965299
18.08.2016;0,490757788;0,517477189;0,42368566;0,570623489;0,511308622
19.08.2016;0,473337182;0,520571402;0,410640971;0,537838925;0,497164905
20.08.2016;0,466525516;0,515028045;0,406495688;0,546080592;0,485584348
21.08.2016;0,499314768;0,526770076;0,424056408;0,62143202;0,514327428
22.08.2016;0,478140924;0,532158375;0,410506987;0,589568875;0,500251975
23.08.2016;0,459492733;0,516625513;0,404403026;0,545321437;0,483879039
24.08.2016;0,432750072;0,503706745;0,397039516;0,486252896;0,471609521
25.08.2016;0,407562342;0,491251676;0,389359536;0,42724311;0,461545753
26.08.2016;0,386535931;0,484372319;0,380251087;0,386646737;0,453414121
27.08.2016;0,367916171;0,475122093;0,370684671;0,350989524;0,444604715
28.08.2016;0,352018108;0,467214136;0,362241646;0,323224689;0,435828065
29.08.2016;0,375225346;0,464964219;0,373788409;0,3619214;0,437701299
30.08.2016;0,415453572;0,470796757;0,398316239;0,428316491;0,444623201
31.08.2016;0,401575917;0,477506356;0,389756022;0,39816919;0,443765275
01.09.2016;0,419329088;0,476783791;0,395871;0,414109571;0,444955896
02.09.2016;0,440050184;0,480469346;0,39390784;0,413433946;0,446103984
03.09.2016;0,428735858;0,47604834;0,386866659;0,388166142;0,443851812
04.09.2016;0,414194854;0,474528736;0,379824508;0,362913668;0,440345164
05.09.2016;0,487467239;0,498086114;0,409883935;0,473753075;0,460957128
06.09.2016;0,530835932;0,515681504;0,426865583;0,546004164;0,504752982
07.09.2016;0,48712809;0,516791346;0,400743497;0,473078874;0,481035971
08.09.2016;0,466551524;0,500878627;0,394283824;0,43455955;0,46990363
09.09.2016;0,451519534;0,490246741;0,391406527;0,410647832;0,463617475
10.09.2016;0,43609395;0,486385169;0,387492084;0,393957442;0,460043388
