FE_EB_EXdt;SM1;SM2;SM3;SM4;SM5
11.08.2016;0,499470717;0,600313771;0,575665515;0,443721273;0,471310458
12.08.2016;0,501142916;0,602999119;0,58714009;0,449808276;0,472041595
13.08.2016;0,474396667;0,591114342;0,542232088;0,434379085;0,463403466
14.08.2016;0,452728842;0,574066218;0,48317532;0,400544409;0,450868067
15.08.2016;0,43031334;0,561583463;0,43464145;0,361943775;0,439502139
16.08.2016;0,418238951;0,552579219;0,4054807;0,328611502;0,43385665
17.08.2016;0,460048209;0,574034027;0,467888567;0,373133562;0,449148913
18.08.2016;0,445105201;0,56886114;0,435309424;0,341276883;0,438704094
19.08.2016;0,447785446;0,566790344;0,424304329;0,319971257;0,432271496
20.08.2016;0,436867898;0,559778125;0,406396856;0,307830453;0,426542103
21.08.2016;0,508560443;0,597585853;0,541364198;0,428667761;0,451312075
22.08.2016;0,48467977;0,588115772;0,506118405;0,403503866;0,447562044
23.08.2016;0,46295986;0,579607364;0,461235968;0,359618764;0,439231082
24.08.2016;0,434041053;0,569030477;0,418773765;0,313421198;0,430656706
25.08.2016;0,407360858;0,559867943;0,385705959;0,262703447;0,421322091
26.08.2016;0,374344698;0,551844455;0,356082338;0,226627384;0,411070762
27.08.2016;0,341207652;0,542925232;0,322986874;0,2037407;0,400290708
28.08.2016;0,324536816;0,53480975;0,30932646;0,192240476;0,391767895
29.08.2016;0,381726699;0,532315084;0,375386671;0,251432523;0,403857547
30.08.2016;0,399662874;0,536474957;0,407827022;0,264983519;0,4060152
31.08.2016;0,380771402;0,537890532;0,387363024;0,243371869;0,400618385
01.09.2016;0,443593081;0,562896212;0,467554528;0,310895377;0,413328848
02.09.2016;0,438009783;0,596737604;0,479735943;0,327569994;0,425395993
03.09.2016;0,420354172;0,581573494;0,450727386;0,295731444;0,419677616
04.09.2016;0,4156407;0,578176628;0,438296684;0,273279866;0,414863432
05.09.2016;0,46762048;0,610118387;0,514342245;0,368085475;0,417984598
06.09.2016;0,444749401;0,60738123;0,509105274;0,367830116;0,422796969
07.09.2016;0,426826535;0,587762285;0,481244341;0,338127715;0,420322093
08.09.2016;0,413427973;0,577233645;0,451807865;0,312033163;0,412060406
09.09.2016;0,399298516;0,567733352;0,426030787;0,28102119;0,404143604
10.09.2016;0,379750807;0,559890475;0,406631338;0,250423908;0,400005467
11.09.2016;0,362729768;0,552970198;0,387738714;0,2269781;0,395816018
12.09.2016;0,341276936;0,547039106;0,367897535;0,213541042;0,391217771
13.09.2016;0,31855837;0,540021648;0,347204024;0,200997623;0,385855158
14.09.2016;0,297961123;0,533065995;0,328376085;0,192158818;0,380040067
15.09.2016;0,283207674;0,526755412;0,311660913;0,184853356;0,373816792
16.09.2016;0,30086524;0,524219274;0,326143821;0,183634951;0,377752624
17.09.2016;0,415823313;0,617743655;0,507847289;0,29359265;0,431847826
18.09.2016;0,416583553;0,632593634;0,51442404;0,342120902;0,4585374
19.09.2016;0,465049658;0,655571577;0,529274664;0,372936784;0,479084281
20.09.2016;0,416070104;0,634002232;0,504351225;0,352670717;0,468171016
21.09.2016;0,40648649;0,631135409;0,490392914;0,341214487;0,458565572
22.09.2016;0,405985043;0,607180705;0,478357988;0,329484772;0,446927802
23.09.2016;0,40026045;0,601316219;0,46688035;0,315040601;0,437439471
24.09.2016;0,395758694;0,596395283;0,456150302;0,302019424;0,429718871
25.09.2016;0,38793989;0,58943192;0,432385845;0,28305775;0,421756135
26.09.2016;0,380108276;0,582603895;0,415223753;0,26382455;0,414258794
27.09.2016;0,375403162;0,57761405;0,40303444;0,248808605;0,407463365
28.09.2016;0,371430323;0,572361501;0,393747219;0,23790448;0,40117767
29.09.2016;0,367398335;0,566078192;0,396449945;0,223570115;0,395063308
30.09.2016;0,354863726;0,558530679;0,378908127;0,20964133;0,387935424
01.10.2016;0,344394981;0,553457339;0,369627798;0,202228807;0,382825423
02.10.2016;0,361282655;0,553884446;0,394047181;0,214698756;0,380621991
03.10.2016;0,373806105;0,557118141;0,427047717;0,228797929;0,377957543
04.10.2016;0,391094422;0,563963842;0,468632695;0,263272676;0,377262132
05.10.2016;0,399802107;0,579393299;0,486449634;0,288540539;0,376330622
06.10.2016;0,387761942;0,574220067;0,474810755;0,268267361;0,374751725
07.10.2016;0,38416564;0,570830477;0,467274755;0,25934465;0,374960438
08.10.2016;0,412628037;0,582684672;0,502995796;0,303901913;0,375548131
09.10.2016;0,40923271;0,587614006;0,495841711;0,308786841;0,375759537
10.10.2016;0,399640623;0,581210911;0,482334593;0,295070799;0,375226478
11.10.2016;0,399395606;0,579287984;0,484125294;0,294522587;0,371897858
12.10.2016;0,403606655;0,583083302;0,48952502;0,305157989;0,373122953
13.10.2016;0,397044765;0,577895855;0,483104415;0,292317599;0,370751996
14.10.2016;0,392640363;0,575994552;0,47664702;0,286388512;0,371050566
15.10.2016;0,38923042;0,573402236;0,472111543;0,282205723;0,371846534
16.10.2016;0,382759753;0,568358541;0,465274244;0,269344131;0,371058186
17.10.2016;0,403114465;0,576246436;0,483957323;0,285939991;0,379154707
18.10.2016;0,473385685;0,633773597;0,595466103;0,395204825;0,446959595
19.10.2016;0,427829857;0,630995125;0,563923077;0,364734689;0,442591197
20.10.2016;0,412593713;0,602116656;0,541452784;0,340363601;0,431533004
21.10.2016;0,415110134;0,602708176;0,543841506;0,347252928;0,428520965
22.10.2016;0,413515342;0,601123649;0,539795716;0,346550998;0,435818862
23.10.2016;0,414510619;0,598974132;0,542708417;0,343924956;0,429549232
24.10.2016;0,425572552;0,607779741;0,556283918;0,36927422;0,442348374
25.10.2016;0,46540054;0,620912256;0,580885434;0,419548792;0,463162414
26.10.2016;0,454745096;0,636564198;0,582542757;0,41595768;0,470264883
27.10.2016;0,383681711;0,637531702;0,557501187;0,393366196;0,460617999
28.10.2016;0,33251884;0,625428482;0,548212002;0,384352665;0,458725779
29.10.2016;0,337537407;0,609817364;0,54264864;0,378630665;0,454540485
30.10.2016;0,343101128;0,607317614;0,537713908;0,373789452;0,452883156
31.10.2016;0,34147473;0,60518628;0,533889145;0,368287269;0,449656832
01.11.2016;0,340054608;0,603047307;0,532281194;0,360028221;0,446062543
02.11.2016;0,358626499;0,609013007;0,551961295;0,3867191;0,455049457
03.11.2016;0,359031105;0,629766081;0,569225718;0,407583805;0,471119525
04.11.2016;0,353286804;0,62879431;0,556963373;0,390796613;0,466337429
05.11.2016;0,354629727;0,625863055;0,557693978;0,393335257;0,466863526
06.11.2016;0,402679084;0,642609525;0,602561707;0,475613992;0,506057513
07.11.2016;0,375403208;0,643569273;0,578544466;0,438913238;0,491588666
08.11.2016;0,368012651;0,641666193;0,56258426;0,41651513;0,481755542
09.11.2016;0,366266304;0,640278646;0,561107544;0,416609339;0,480390188
10.11.2016;0,372244009;0,642563509;0,573516316;0,433402941;0,489155598
11.11.2016;0,401504781;0,657885417;0,593424766;0,464436232;0,50505182
12.11.2016;0,384664896;0,661101074;0,578603511;0,437202137;0,496684825
13.11.2016;0,37078449;0,658346053;0,561697393;0,416870614;0,487336696
14.11.2016;0,367726179;0,656510826;0,556151424;0,407381482;0,478763628
15.11.2016;0,364521584;0,64231684;0,550808221;0,400105538;0,47616635
16.11.2016;0,387496485;0,627529113;0,573428728;0,445090962;0,498764243
