FE_EB_INdt;SM1;SM2;SM3;SM4;SM5
11.08.2016;0,441381836;0,579965063;0,540857345;0,382845904;0,582708906
12.08.2016;0,446130753;0,578993321;0,547416717;0,388191021;0,58096334
13.08.2016;0,425631214;0,56817807;0,510803486;0,366694485;0,573031635
14.08.2016;0,393030362;0,552505401;0,451864917;0,313539019;0,55797329
15.08.2016;0,363750971;0,541025967;0,398384949;0,256390982;0,544928012
16.08.2016;0,345866822;0,530110294;0,370467101;0,215162645;0,53472996
17.08.2016;0,397980577;0,54168937;0,427725688;0,221737572;0,546532872
18.08.2016;0,382950184;0,538504783;0,399154189;0,220503902;0,540260812
19.08.2016;0,380038501;0,535288972;0,386206029;0,225052121;0,533612697
20.08.2016;0,369476035;0,529676484;0,369099938;0,21589256;0,527776213
21.08.2016;0,438730635;0,580898977;0,474974999;0,28512248;0,539284141
22.08.2016;0,421673561;0,576594554;0,454537653;0,308259272;0,55091623
23.08.2016;0,393992191;0,557454822;0,413509839;0,274110124;0,544339823
24.08.2016;0,366619038;0,54407527;0,373880197;0,225721506;0,533349221
25.08.2016;0,338437895;0,533731367;0,344377508;0,192921287;0,523423932
26.08.2016;0,303811234;0,522274968;0,318253269;0,174792991;0,510148124
27.08.2016;0,265084596;0,507096119;0,289429009;0,157628277;0,482697423
28.08.2016;0,244453882;0,492139117;0,271606812;0,147391824;0,455286715
29.08.2016;0,319204034;0,487015323;0,328156314;0,179468283;0,454727406
30.08.2016;0,355641827;0,498630304;0,348265992;0,198249306;0,459167002
31.08.2016;0,34271901;0,498088033;0,331544828;0,196010442;0,45544158
01.09.2016;0,397402718;0,548413207;0,377699953;0,250543049;0,467732455
02.09.2016;0,39223404;0,569467181;0,377601329;0,27011521;0,474858303
03.09.2016;0,375512537;0,551874385;0,36266992;0,245646336;0,477874974
04.09.2016;0,366889611;0,540290845;0,354878522;0,239851177;0,486799975
05.09.2016;0,410540591;0,577361857;0,400380589;0,335654989;0,476678443
06.09.2016;0,39839071;0,576348413;0,392410805;0,348162971;0,493356992
07.09.2016;0,382400734;0,559127754;0,377974103;0,323210281;0,497002959
08.09.2016;0,366643389;0,54292562;0,338356529;0,288641759;0,48697061
09.09.2016;0,349140614;0,531270332;0,314545544;0,278009109;0,497139988
10.09.2016;0,325252558;0,519842329;0,301198838;0,249954311;0,491699305
11.09.2016;0,302483108;0,510132813;0,290424224;0,227133535;0,485835518
12.09.2016;0,280907754;0,499026903;0,277179686;0,20939288;0,478535441
