FE_GW_EXdt;SM1;SM2;SM3;SM4;SM5
11.08.2016;0,443947288;0,458133688;0,43251096;0,390874168;0,497324527
12.08.2016;0,442831814;0,461358534;0,437034863;0,392675812;0,499470379
13.08.2016;0,434223467;0,455366307;0,422830522;0,38743524;0,491914338
14.08.2016;0,422550729;0,445994919;0,404241015;0,377866826;0,481709615
15.08.2016;0,412253285;0,434255445;0,384425115;0,371528468;0,473815595
16.08.2016;0,410503851;0,432593386;0,378895533;0,372110955;0,470699381
17.08.2016;0,430853934;0,451340512;0,407057719;0,400848085;0,496446151
18.08.2016;0,42248097;0,444033229;0,38671144;0,393162664;0,485436403
19.08.2016;0,422429522;0,442238841;0,379150873;0,389427988;0,480834685
20.08.2016;0,420496489;0,43885182;0,372925119;0,389386376;0,474641857
21.08.2016;0,457834119;0,465122703;0,432157135;0,416755815;0,497310688
22.08.2016;0,437812476;0,449505199;0,409097416;0,396272244;0,487741112
23.08.2016;0,428712724;0,441663241;0,383207773;0,38703168;0,477405853
24.08.2016;0,420990904;0,436024761;0,370720764;0,378733659;0,46915862
25.08.2016;0,411837376;0,429626877;0,358614726;0,371863786;0,464187514
26.08.2016;0,403411854;0,423824154;0,351175267;0,364661009;0,455502787
27.08.2016;0,393118252;0,417611446;0,344964215;0,356028405;0,444380603
28.08.2016;0,385373951;0,412369424;0,340172649;0,353851145;0,436608341
29.08.2016;0,411686661;0,428138139;0,357488842;0,383938552;0,46348459
30.08.2016;0,444538623;0,435644451;0,357135462;0,386464002;0,472158336
31.08.2016;0,430303601;0,430457947;0,351749767;0,379354749;0,462384979
01.09.2016;0,484280062;0,462964602;0,407610305;0,42032321;0,482299479
02.09.2016;0,479686344;0,458818922;0,409610378;0,404986944;0,479768994
03.09.2016;0,460005246;0,447995318;0,39241211;0,393094024;0,470950659
04.09.2016;0,452962144;0,444560606;0,386388478;0,393796624;0,465858902
05.09.2016;0,481729418;0,467568402;0,437731274;0,43611478;0,487106071
06.09.2016;0,470193723;0,454360681;0,424447162;0,421759311;0,483587638
07.09.2016;0,458935759;0,44714082;0,405297193;0,407993991;0,473524494
08.09.2016;0,452489226;0,44245462;0,367415605;0,397456966;0,466922498
09.09.2016;0,444843002;0,437199514;0,348411202;0,390335935;0,461854013
10.09.2016;0,435127494;0,43336802;0,346376583;0,383425808;0,454994656
11.09.2016;0,427498584;0,429941432;0,344863557;0,378921581;0,449479753
12.09.2016;0,420007179;0,425935974;0,337062075;0,372640414;0,443943896
13.09.2016;0,412186794;0,420363691;0,326834489;0,36563682;0,436955403
14.09.2016;0,40308362;0,416065934;0,305395687;0,359224116;0,430462933
15.09.2016;0,396726578;0,41196409;0,28029948;0,35373336;0,424335553
16.09.2016;0,410981571;0,417255873;0,301642032;0,374420573;0,429469735
17.09.2016;0,476601847;0,502006922;0,355258272;0,442634077;0,497881318
18.09.2016;0,509832012;0,474432217;0,357668385;0,455106813;0,500909469
19.09.2016;0,607172928;0,499800583;0,358958628;0,495853687;0,513440393
20.09.2016;0,51729992;0,472578632;0,35566991;0,437291079;0,49347685
21.09.2016;0,492953708;0,458292285;0,352720589;0,419714338;0,486514675
22.09.2016;0,477770578;0,453297177;0,350019286;0,41074998;0,478696522
23.09.2016;0,468660294;0,449417078;0,347855421;0,403622961;0,470059602
24.09.2016;0,46262049;0,446190274;0,346272377;0,399492656;0,463996695
25.09.2016;0,45697225;0,441953306;0,343825367;0,396447508;0,457205109
26.09.2016;0,452309522;0,437961638;0,341682998;0,390566404;0,451632683
27.09.2016;0,447403443;0,435337063;0,338319587;0,383774252;0,448741602
28.09.2016;0,442999566;0,432225841;0,334827207;0,376429612;0,446025128
29.09.2016;0,437103873;0,428637839;0,330083083;0,369503905;0,441247833
30.09.2016;0,43034454;0,424595705;0,320640096;0,36259285;0,436389031
01.10.2016;0,427362512;0,422433818;0,311408459;0,359016892;0,433746952
02.10.2016;0,441846701;0,42706026;0,312807023;0,370233128;0,434779203
03.10.2016;0,450826351;0,429199232;0,331256917;0,376449554;0,434327691
04.10.2016;0,46051094;0,438027845;0,337186752;0,388386061;0,440101913
05.10.2016;0,465325654;0,441284085;0,341630826;0,391013445;0,475961405
06.10.2016;0,459157599;0,438738468;0,339747591;0,383637355;0,475767142
07.10.2016;0,45420355;0,435784993;0,342476879;0,382225902;0,473375318
08.10.2016;0,464221271;0,443765158;0,349577771;0,399644268;0,477075702
