FE_GW_INdt;SM1;SM2;SM3;SM4;SM5
11.08.2016;0,448794009;0,496306462;0,507856796;0,470851605;0,530325549
12.08.2016;0,448748547;0,49474456;0,510504574;0,472720924;0,524840508
13.08.2016;0,426732482;0,483734828;0,490469963;0,464360113;0,504540306
14.08.2016;0,401712433;0,482134226;0,46129736;0,452166177;0,490255937
15.08.2016;0,37861672;0,477183344;0,440305714;0,439754943;0,479599956
16.08.2016;0,366346713;0,469922879;0,431784651;0,43249383;0,471716814
17.08.2016;0,412665997;0,48251408;0,471665509;0,47232171;0,505010205
18.08.2016;0,393801708;0,474953284;0,449641848;0,461721482;0,488036443
19.08.2016;0,388422991;0,471193926;0,443981716;0,456568498;0,483850203
20.08.2016;0,37810077;0,467959158;0,433756041;0,452139918;0,477175147
21.08.2016;0,444766258;0,527603774;0,514303341;0,486456165;0,518412306
22.08.2016;0,426984832;0,506184281;0,520682602;0,471782072;0,506553513
23.08.2016;0,404302436;0,488146776;0,49319969;0,456324965;0,486364332
24.08.2016;0,380565173;0,477549847;0,462875201;0,440426548;0,478084336
25.08.2016;0,360908357;0,469594259;0,427491288;0,424979742;0,451254729
26.08.2016;0,345264775;0,462910133;0,399989569;0,407419675;0,436802037
27.08.2016;0,32557719;0,455855174;0,376484167;0,385388945;0,445573796
28.08.2016;0,315284056;0,450666249;0,353307607;0,371173881;0,436130858
29.08.2016;0,361558577;0,4482669;0,404885216;0,417385288;0,449734847
30.08.2016;0,380922471;0,452963417;0,430624043;0,435065374;0,469530681
31.08.2016;0,356370485;0,447786341;0,404476907;0,413860666;0,460729764
01.09.2016;0,404886328;0,51246102;0,476680186;0,455282646;0,485786561
02.09.2016;0,406201235;0,520621771;0,479526449;0,45777751;0,490077218
03.09.2016;0,386203014;0,497834269;0,453271544;0,441651205;0,488948462
04.09.2016;0,376998981;0,487889923;0,439088679;0,433430674;0,493970077
05.09.2016;0,411805435;0,526159978;0,502571637;0,475911343;0,5244974
06.09.2016;0,399726892;0,514340975;0,48914283;0,465333771;0,529064041
07.09.2016;0,382071163;0,495282135;0,470537454;0,445876995;0,514468598
08.09.2016;0,36908625;0,485057003;0,431963492;0,429308628;0,504017726
09.09.2016;0,355821771;0,477011179;0,400358953;0,413908031;0,486854034
10.09.2016;0,339384568;0,469333603;0,379762912;0,398332962;0,471517764
11.09.2016;0,32905851;0,46307995;0,362943087;0,385211361;0,461766376
12.09.2016;0,317434086;0,456392667;0,344055444;0,373308718;0,447755665
13.09.2016;0,30422821;0,449977533;0,327083055;0,357930975;0,439602217
14.09.2016;0,288760843;0,443759736;0,316071282;0,342459889;0,428563562
15.09.2016;0,27241436;0,436971952;0,295229111;0,332778268;0,42177576
16.09.2016;0,289911928;0,432397978;0,312337802;0,358337284;0,421500317
17.09.2016;0,389360053;0,526738983;0,426338031;0,460274247;0,511757985
18.09.2016;0,392637817;0,567679237;0,425888228;0,472737014;0,520598066
19.09.2016;0,402860427;0,654238506;0,435168208;0,474928394;0,505805895
20.09.2016;0,378825211;0,544148944;0,419329897;0,472743863;0,514881413
21.09.2016;0,362460651;0,518356454;0,416723735;0,485452551;0,518422638
22.09.2016;0,380044528;0,50175043;0,407104723;0,476297191;0,514711163
23.09.2016;0,38783294;0,490342148;0,398142407;0,474775931;0,504977934
24.09.2016;0,383758338;0,483254355;0,388495247;0,472619824;0,495048989
25.09.2016;0,369208688;0,475929249;0,377637524;0,465208775;0,48408415
26.09.2016;0,356811639;0,469207653;0,364352316;0,455424104;0,472026424
27.09.2016;0,346572206;0,463993541;0,351266773;0,441015897;0,461701461
28.09.2016;0,338755776;0,458789878;0,34139636;0,42783127;0,454622158
29.09.2016;0,330473323;0,453001756;0,331866711;0,413562774;0,447315579
30.09.2016;0,321543858;0,446299099;0,316594005;0,391842473;0,438268632
01.10.2016;0,313807324;0,442043331;0,309828498;0,374441723;0,431966427
02.10.2016;0,318849645;0,440284833;0,318589696;0,394920826;0,426557942
03.10.2016;0,326866083;0,437995685;0,342986698;0,409041377;0,424408747
04.10.2016;0,350251552;0,436586464;0,379351716;0,430974697;0,422216436
05.10.2016;0,367187078;0,438851866;0,383662184;0,437822162;0,428299885
06.10.2016;0,359880209;0,440274712;0,367887186;0,42492163;0,431475284
07.10.2016;0,355108103;0,441259653;0,358341124;0,41899147;0,430490807
08.10.2016;0,372346288;0,442567906;0,38557223;0,445833165;0,429050701
09.10.2016;0,375894507;0,446515916;0,386711452;0,445823017;0,43589366
10.10.2016;0,368903841;0,446991233;0,37667184;0,443764184;0,438428256
11.10.2016;0,368863824;0,447047488;0,375132631;0,441103026;0,435896985
12.10.2016;0,374679532;0,447985387;0,384904028;0,446595328;0,437107219
13.10.2016;0,370174492;0,448565993;0,37795738;0,443741624;0,441724975
14.10.2016;0,368875059;0,44991395;0,373983664;0,436466519;0,441435883
15.10.2016;0,3679755;0,450428984;0,370768114;0,438120162;0,441702605
16.10.2016;0,36413278;0,449905106;0,364935058;0,428694383;0,44046993
17.10.2016;0,378338473;0,460099469;0,377961232;0,435256222;0,443516929
18.10.2016;0,443267585;0,545514232;0,450794814;0,497155885;0,49629396
19.10.2016;0,425409909;0,522677089;0,425472233;0,490996952;0,50358466
20.10.2016;0,411770597;0,504214086;0,410388721;0,493097716;0,494989164
21.10.2016;0,407661117;0,501337577;0,410090285;0,498987221;0,490434025
22.10.2016;0,407412184;0,498037799;0,407411216;0,497001127;0,489448257
23.10.2016;0,407368345;0,495345314;0,405489441;0,497805741;0,484333429
24.10.2016;0,415918212;0,501127763;0,411295036;0,499657741;0,486516098
25.10.2016;0,43296895;0,527400035;0,439290187;0,526998909;0,487967845
26.10.2016;0,436135162;0,55990346;0,445008765;0,540498452;0,505135401
27.10.2016;0,415900887;0,507867336;0,425486019;0,536484134;0,502870323
28.10.2016;0,410684275;0,49678223;0,417158853;0,527410947;0,500436299
29.10.2016;0,40556638;0,491632462;0,412444643;0,524603623;0,49870892
30.10.2016;0,402685161;0,487959666;0,408670237;0,513343441;0,4942683
31.10.2016;0,396512786;0,486457564;0,40500581;0,504981785;0,490871004
01.11.2016;0,390429881;0,489460539;0,401433584;0,522180899;0,485365578
02.11.2016;0,413296146;0,514250852;0,426137394;0,534413782;0,479273928
03.11.2016;0,431962477;0,540895509;0,437677349;0,549714548;0,507486475
04.11.2016;0,415749447;0,509427794;0,423203148;0,543471954;0,504844856
