GW_EB_EXdt;SM1;SM2;SM3;SM4;SM5
07.09.2016;0,343883923;0,619570781;0,329704793;0,35148619;0,519478128
08.09.2016;0,329292948;0,599289482;0,318554859;0,333164707;0,509201337
09.09.2016;0,31404061;0,586337444;0,305616653;0,312620207;0,495403646
10.09.2016;0,297042558;0,570223575;0,29527189;0,292331666;0,488211394
11.09.2016;0,290337863;0,545123721;0,292847753;0,28154707;0,487371423
12.09.2016;0,281699488;0,545441125;0,301427614;0,2718257;0,48119004
13.09.2016;0,240403876;0,540000493;0,293579649;0,23321719;0,464277016
14.09.2016;0,208973305;0,522306432;0,282212398;0,202564373;0,452312526
15.09.2016;0,195531777;0,506887332;0,271736384;0,184586269;0,44147458
16.09.2016;0,215706607;0,492099455;0,27145563;0,208566201;0,445598093
17.09.2016;0,343894998;0,591671967;0,368319591;0,375175156;0,54292612
18.09.2016;0,344546213;0,604911322;0,379133278;0,375850061;0,565521947
19.09.2016;0,355468163;0,619051463;0,396571339;0,395574881;0,576019975
20.09.2016;0,342185149;0,61388225;0,383840658;0,372171678;0,554999689
21.09.2016;0,334852767;0,614363788;0,375573119;0,357575917;0,53903409
22.09.2016;0,32495743;0,603860475;0,368543982;0,344593521;0,53093058
23.09.2016;0,316039805;0,588613268;0,360684787;0,332088838;0,523725766
24.09.2016;0,302493789;0,575418211;0,35482445;0,320618342;0,513749622
25.09.2016;0,27986722;0,558616835;0,344335259;0,306989649;0,504306405
26.09.2016;0,251466531;0,547905985;0,333125078;0,288814532;0,492431101
27.09.2016;0,229572369;0,533856772;0,323556599;0,275302566;0,485749747
28.09.2016;0,217462054;0,521629119;0,316899821;0,261803999;0,480089266
29.09.2016;0,200001303;0,508278543;0,307654606;0,24025115;0,469815287
30.09.2016;0,187641052;0,491142986;0,29700094;0,222478099;0,462676842
01.10.2016;0,179442437;0,482234606;0,286697968;0,20880159;0,454160823
02.10.2016;0,285314112;0,498230012;0,318245543;0,315057016;0,48613311
03.10.2016;0,324288334;0,584099836;0,35471377;0,350956587;0,508603084
04.10.2016;0,335859563;0,597228929;0,369952466;0,365027142;0,550431892
05.10.2016;0,326110952;0,600487199;0,363122542;0,350901726;0,539431962
06.10.2016;0,319433997;0,59646876;0,356523068;0,339497589;0,529076017
07.10.2016;0,312102895;0,586674946;0,352306353;0,332247629;0,524761821
08.10.2016;0,34365271;0,595445986;0,368391563;0,3626754;0,555880085
09.10.2016;0,341847615;0,60008209;0,373872647;0,360717992;0,557548421
10.10.2016;0,336200631;0,603049427;0,369092083;0,352553147;0,545930462
11.10.2016;0,346532131;0,611082381;0,381210379;0,367953549;0,555012851
12.10.2016;0,344649397;0,616913197;0,408525851;0,366221604;0,558735857
13.10.2016;0,331853935;0,614286966;0,396130694;0,351135022;0,540135428
14.10.2016;0,331820026;0,612141435;0,392433145;0,346735982;0,536569844
15.10.2016;0,332085685;0,606336994;0,387493532;0,342262877;0,534574117
16.10.2016;0,328035023;0,592161636;0,380028471;0,334524646;0,532266299
17.10.2016;0,329987279;0,581763201;0,374875998;0,33279789;0,531687442
18.10.2016;0,384903075;0,614934654;0,418613258;0,387178259;0,567012962
19.10.2016;0,376034748;0,613092561;0,41345014;0,376683497;0,559329642
20.10.2016;0,36410938;0,616627072;0,403311371;0,364404003;0,547854475
21.10.2016;0,37714437;0,607671205;0,407200983;0,369168729;0,554804386
22.10.2016;0,375787382;0,61461091;0,410815655;0,369218795;0,554251075
23.10.2016;0,37488073;0,613373883;0,408984822;0,365408671;0,553003846
