GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
07.09.2016;0,292885382;0,433069738;0,40276962;0,365902333;0,303354529
08.09.2016;0,276375313;0,42261409;0,38273728;0,347108225;0,294866023
09.09.2016;0,256246072;0,404341873;0,364059829;0,328109543;0,287212746
10.09.2016;0,239216287;0,394850271;0,349338181;0,308160093;0,279790583
11.09.2016;0,226149103;0,39192738;0,341260781;0,294284717;0,273688206
12.09.2016;0,21685796;0,381677854;0,335705406;0,283126833;0,269306915
13.09.2016;0,193197572;0,361639964;0,315017718;0,257745994;0,262031202
14.09.2016;0,172168033;0,350206509;0,28750581;0,236456661;0,254372201
15.09.2016;0,161739046;0,339847778;0,265393203;0,223525705;0,247677049
16.09.2016;0,161479659;0,337970512;0,279808086;0,227464335;0,244030819
17.09.2016;0,29220912;0,481152152;0,421194844;0,361322157;0,320206591
18.09.2016;0,294094873;0,517294617;0,411478105;0,368085191;0,324937464
19.09.2016;0,305038321;0,537218718;0,42799932;0,388812059;0,332898152
20.09.2016;0,289914923;0,484454596;0,398393389;0,380231969;0,317461979
21.09.2016;0,282791109;0,450404559;0,384198047;0,370091904;0,310226085
22.09.2016;0,273167511;0,438368874;0,372300953;0,359967239;0,303354584
23.09.2016;0,263861873;0,429227738;0,362739988;0,351762309;0,296826946
24.09.2016;0,255338751;0,415099296;0,354268577;0,344255779;0,292362294
25.09.2016;0,23582334;0,401943874;0,344452673;0,330792986;0,285739478
26.09.2016;0,21463161;0,379501316;0,333245383;0,315531847;0,278571046
27.09.2016;0,197818907;0,368547798;0,325348716;0,303899794;0,27288421
28.09.2016;0,187159185;0,362182318;0,320111072;0,292959204;0,267745087
29.09.2016;0,171541036;0,348402178;0,311297104;0,277884563;0,262044358
30.09.2016;0,160327192;0,338732909;0,301270047;0,266766804;0,256394801
01.10.2016;0,152789685;0,3280495;0,291588539;0,256325716;0,251651048
02.10.2016;0,206759198;0,338600254;0,356427996;0,327735322;0,256808333
03.10.2016;0,26434451;0,33779756;0,392395912;0,367961466;0,289464834
04.10.2016;0,286002078;0,412240822;0,409121536;0,380229853;0,31632627
05.10.2016;0,277253636;0,422512669;0,392224076;0,389696886;0,310995992
06.10.2016;0,266964372;0,408219546;0,380183778;0,379529084;0,303575248
07.10.2016;0,260640977;0,403212493;0,372706786;0,372443886;0,299756873
08.10.2016;0,287799376;0,461126421;0,40825762;0,390505729;0,311907888
09.10.2016;0,294356322;0,485906032;0,408141248;0,391684037;0,315162679
10.10.2016;0,287407886;0,460190934;0,395046095;0,386590989;0,312452987
11.10.2016;0,293914986;0,473566883;0,407496334;0,391893448;0,318510649
12.10.2016;0,297936421;0,479539947;0,413171322;0,395128392;0,32108885
13.10.2016;0,285215602;0,439363919;0,375174366;0,383642392;0,312093059
14.10.2016;0,281264302;0,429228491;0,352000001;0,377945687;0,309194375
15.10.2016;0,281455853;0,427732577;0,350506172;0,373965119;0,308125132
16.10.2016;0,278411064;0,434636718;0,34707378;0,36696855;0,305024645
17.10.2016;0,274932179;0,436668863;0,348263944;0,364605788;0,30226025
18.10.2016;0,321535714;0,50241099;0,398866945;0,407949132;0,331000522
19.10.2016;0,315821508;0,485287582;0,384598407;0,397520754;0,327303082
20.10.2016;0,306156578;0,449953544;0,371543886;0,397395412;0,320481475
21.10.2016;0,308120716;0,470484378;0,37548827;0,403546301;0,318739756
22.10.2016;0,309804745;0,465554872;0,364250316;0,408355327;0,32035261
23.10.2016;0,30669262;0,464997501;0,356545371;0,404393714;0,317432474
24.10.2016;0,307585046;0,463925691;0,356818893;0,412647313;0,318976281
25.10.2016;0,325481294;0,503156441;0,376333458;0,442658564;0,330292571
26.10.2016;0,337779847;0,521128141;0,383878173;0,456167309;0,336112887
27.10.2016;0,339463779;0,459784464;0,361963908;0,42431735;0,327438832
28.10.2016;0,333004365;0,452821109;0,364075239;0,412265273;0,324210969
29.10.2016;0,328476617;0,441960697;0,36909677;0,406321271;0,32166416
30.10.2016;0,324821324;0,434729145;0,364872711;0,402338858;0,31970431
31.10.2016;0,320642908;0,433677132;0,362281912;0,399339503;0,316104073
01.11.2016;0,318128171;0,431615637;0,361760689;0,39817786;0,314531843
02.11.2016;0,322813814;0,443224154;0,370800213;0,406532696;0,315082268
03.11.2016;0,339320555;0,474369947;0,390613473;0,434309046;0,326753652
04.11.2016;0,329191896;0,442509566;0,376835545;0,415521529;0,319749821
05.11.2016;0,331052383;0,440806947;0,380465344;0,41893257;0,31916086
06.11.2016;0,365843086;0,549914878;0,442492998;0,480821474;0,350445064
07.11.2016;0,352192559;0,512979537;0,420861658;0,45443264;0,338209942
