GW_GW_EXdt;SM1;SM2;SM3;SM4;SM5
07.09.2016;0,365449642;0,468548312;0,315010818;0,440592378;0,499992309
08.09.2016;0,356785742;0,452194628;0,302142663;0,42174511;0,489382572
09.09.2016;0,351868661;0,4367413;0,286562963;0,40497149;0,478049928
10.09.2016;0,350846714;0,425331857;0,269766781;0,391552073;0,463857359
11.09.2016;0,347489132;0,419326148;0,263082432;0,388949543;0,484766916
12.09.2016;0,34201884;0,408943587;0,26253475;0,385136493;0,481844489
13.09.2016;0,318560863;0,391899005;0,238965711;0,360351831;0,472973149
14.09.2016;0,283588274;0,377168954;0,218936809;0,3309211;0,461878328
15.09.2016;0,256492378;0,364301832;0,206559814;0,307808759;0,450283975
16.09.2016;0,256740499;0,359017985;0,224502574;0,330389702;0,436122502
17.09.2016;0,366200016;0,468216729;0,333753854;0,464487861;0,481336879
18.09.2016;0,367459484;0,489657396;0,332745371;0,466150212;0,477456833
19.09.2016;0,375018439;0,506797396;0,336777781;0,489601432;0,511301918
20.09.2016;0,364370889;0,481991317;0,32806758;0,455171727;0,486273123
21.09.2016;0,358202187;0,469062538;0,320284737;0,435234652;0,492918456
22.09.2016;0,353622059;0,456901364;0,311314532;0,427119426;0,491904336
23.09.2016;0,349283972;0,44521138;0,303045947;0,417043009;0,486124523
24.09.2016;0,348283781;0,433403467;0,293068774;0,406860828;0,484630865
25.09.2016;0,345193888;0,420342947;0,277010425;0,388290672;0,47855445
26.09.2016;0,335767118;0,405866845;0,25815744;0,372697153;0,476931856
27.09.2016;0,321657058;0,394140506;0,24568054;0,360594251;0,469637352
28.09.2016;0,30499066;0,384991677;0,237385956;0,350859797;0,462505326
29.09.2016;0,280184383;0,371849293;0,225282876;0,335082117;0,456709861
30.09.2016;0,257901288;0,359514656;0,214349762;0,317401608;0,44850334
01.10.2016;0,245471391;0,34893742;0,207857651;0,303125289;0,444452561
02.10.2016;0,305873952;0,350310794;0,293931027;0,415816493;0,426494973
03.10.2016;0,349645383;0,350824119;0,31971178;0,446752665;0,466922605
04.10.2016;0,353045434;0,405260942;0,324077483;0,456892369;0,475382556
05.10.2016;0,349288683;0,425899711;0,316260285;0,437009284;0,49466238
06.10.2016;0,346209197;0,418432764;0,311787529;0,427445433;0,502391184
07.10.2016;0,345357867;0,412495674;0,307924204;0,419033442;0,496227372
08.10.2016;0,351763411;0,431626395;0,32424733;0,449547497;0,476263466
09.10.2016;0,353157842;0,450609977;0,321810629;0,44423863;0,4815669
10.10.2016;0,350553562;0,444904227;0,316804958;0,432747749;0,489901637
11.10.2016;0,354000074;0,456390064;0,321434942;0,452668683;0,497729435
12.10.2016;0,357328011;0,474370545;0,322541433;0,453879655;0,500708548
13.10.2016;0,351971799;0,456106415;0,309358033;0,436077594;0,513458807
14.10.2016;0,351062145;0,449495621;0,303017008;0,431357492;0,505964003
15.10.2016;0,350458296;0,445757747;0,303881383;0,427380947;0,503537153
16.10.2016;0,348105954;0,439485408;0,299258916;0,418950673;0,495764643
