GW_GW_INdt;SM1;SM2;SM3;SM4;SM5
07.09.2016;0,39093999;0,45768217;0,296543615;0,416920663;0,474222681
08.09.2016;0,373507664;0,441134104;0,299091;0,402602451;0,460038866
09.09.2016;0,356694775;0,428518779;0,308063969;0,389001331;0,449596879
10.09.2016;0,342808767;0,417122228;0,303631481;0,373312128;0,442210177
11.09.2016;0,331891841;0,409130934;0,29856549;0,363368179;0,437126184
12.09.2016;0,327253888;0,400727564;0,292684198;0,356233389;0,431256029
13.09.2016;0,308875496;0,38784458;0,286120563;0,325482165;0,420835945
14.09.2016;0,279088557;0,374933377;0,282397753;0,290959368;0,41107741
15.09.2016;0,254969247;0,364582891;0,276400056;0,268344669;0,402316668
16.09.2016;0,280310971;0,356603988;0,283086482;0,274790787;0,394181403
17.09.2016;0,432925742;0,48524488;0,409703749;0,410214184;0,45836832
18.09.2016;0,422139552;0,478645452;0,421099739;0,417259338;0,474984461
19.09.2016;0,449612145;0,509042388;0,448912967;0,421205579;0,47089626
20.09.2016;0,421661517;0,478212767;0,430458066;0,427256955;0,485679056
21.09.2016;0,406191343;0,473280574;0,422232672;0,426733467;0,483008844
22.09.2016;0,389733954;0,455727806;0,414324226;0,415252802;0,468621234
23.09.2016;0,378353608;0,442732162;0,405727587;0,406511198;0,458323233
24.09.2016;0,368252982;0,432833994;0,384154496;0,398844531;0,450798889
25.09.2016;0,353018533;0,421398724;0,366441799;0,388811813;0,442536444
26.09.2016;0,339399174;0,408428077;0,35621816;0,37377458;0,43366377
27.09.2016;0,328695725;0,397449045;0,345414129;0,3632078;0,427484122
28.09.2016;0,322149321;0,388235609;0,337249453;0,352704207;0,422487973
29.09.2016;0,310210082;0,377122216;0,325806711;0,335256807;0,414630379
30.09.2016;0,294333362;0,368300571;0,313227757;0,315071333;0,406866611
01.10.2016;0,284238836;0,362086702;0,302529362;0,299601225;0,400069153
02.10.2016;0,364241315;0,353642082;0,367042881;0,366470517;0,410797975
03.10.2016;0,392396235;0,398642468;0,393328513;0,419923184;0,467444373
04.10.2016;0,408835712;0,446526872;0,40966994;0,430640462;0,490581227
05.10.2016;0,396716847;0,455507262;0,401889996;0,429622021;0,487485923
06.10.2016;0,381612841;0,441866083;0,384858433;0,421563505;0,472679516
07.10.2016;0,37317467;0,432353844;0,375067521;0,41593661;0,462774431
08.10.2016;0,393408235;0,423977746;0,393969005;0,419490837;0,469816367
09.10.2016;0,394196252;0,4429756;0,401260178;0,42628653;0,485395066
10.10.2016;0,388438369;0,448569602;0,392097237;0,426863636;0,482029935
11.10.2016;0,403478523;0,443543463;0,395503262;0,421822611;0,472160949
12.10.2016;0,411620796;0,464998503;0,39799947;0,428831691;0,487435528
13.10.2016;0,35991128;0,455889498;0,333870004;0,43033115;0,481742462
14.10.2016;0,322674945;0,44482674;0,281516313;0,426548326;0,474787765
15.10.2016;0,325032133;0,442018318;0,302966379;0,42335181;0,471100196
16.10.2016;0,328133555;0,438698593;0,331975542;0,418105581;0,466716251
17.10.2016;0,32981037;0,431420738;0,329951732;0,413414833;0,460416783
18.10.2016;0,361841423;0,466598462;0,354354043;0,436009272;0,475921825
19.10.2016;0,355780018;0,47004993;0,347632782;0,440151759;0,493959641
20.10.2016;0,365322915;0,461198541;0,341926099;0,437882293;0,487322624
